state,epsilon,no_PT,PT_mean,PT_std,PT_sem,delta_F
+,0.12499999999999999,0.999999999999999,0.9999999999999989,1.5581524187951712e-16,1.5581524187951713e-17,-1.1102230246251565e-16
+,0.15,1.0,1.0,0.0,0.0,0.0
+,0.175,0.9999999999999998,1.0,1.8770932598934815e-16,1.8770932598934814e-17,2.220446049250313e-16
+,0.19999999999999998,1.0,1.0,0.0,0.0,0.0
+,0.22499999999999998,0.9999999999999996,0.9999999999999997,1.3711378074894936e-16,1.3711378074894936e-17,1.1102230246251565e-16
+,0.24999999999999997,0.9999999999999991,0.999999999999999,1.5380463839450825e-16,1.5380463839450823e-17,-1.1102230246251565e-16
+,0.27499999999999997,1.0,1.0,0.0,0.0,0.0
+,0.3,0.9999999999999989,0.9999999999999986,1.4633791263565398e-16,1.4633791263565398e-17,-3.3306690738754696e-16
+i,0.0,0.9999999999999998,1.0,1.945491888100917e-16,1.945491888100917e-17,2.220446049250313e-16
+i,0.024999999999999998,0.9965714079886507,0.9986205793208036,0.0009350138743408594,9.350138743408594e-05,0.002049171332152877
+i,0.049999999999999996,0.9863919878000231,0.9945042016669889,0.0037143812341361273,0.00037143812341361275,0.008112213866965812
+i,0.075,0.969776782488422,0.9877160164770992,0.008261959826066024,0.0008261959826066024,0.01793923398867714
+i,0.09999999999999999,0.9472376073790674,0.9783629412195951,0.014453748135114205,0.0014453748135114205,0.031125333840527736
+i,0.12499999999999999,0.9194637138974746,0.9665912129483536,0.022122125069344085,0.0022122125069344084,0.047127499050878985
+i,0.15,0.8872957934546966,0.9525830567807403,0.03106156317502503,0.003106156317502503,0.06528726332604373
+i,0.175,0.8516943444849359,0.93655256392631,0.041035604525909125,0.004103560452590913,0.08485821944137417
+i,0.19999999999999998,0.8137036468814564,0.918740893255692,0.051784844089522615,0.0051784844089522615,0.10503724637423562
+i,0.22499999999999998,0.7744127597853658,0.8994109281763815,0.0630356320856268,0.006303563208562681,0.12499816839101563
+i,0.24999999999999997,0.7349150741377173,0.8788415342386316,0.07450918612345067,0.007450918612345067,0.14392646010091437
+i,0.27499999999999997,0.6962680060361557,0.8573215720338258,0.08593079669285474,0.008593079669285474,0.16105356599767007
+i,0.3,0.6594544085943472,0.8351438243277327,0.09703881620717074,0.009703881620717074,0.17568941573338548
arbitrary,0.0,0.9999999999999999,1.0,2.0574632706533307e-16,2.0574632706533305e-17,1.1102230246251565e-16
arbitrary,0.024999999999999998,0.9981644125064504,0.9992614906239372,0.0005005844289302099,5.005844289302099e-05,0.0010970781174868272
arbitrary,0.049999999999999996,0.9927145904430541,0.9970576788799153,0.0019885923192634663,0.00019885923192634663,0.004343088436861153
arbitrary,0.075,0.983819200448623,0.993423444244468,0.004423258900078854,0.00044232589000788535,0.009604243795845013
arbitrary,0.09999999999999999,0.9717522564060785,0.9884160278146109,0.0077381966777952055,0.0007738196677795205,0.01666377140853237
arbitrary,0.12499999999999999,0.9568827673116498,0.9821137214682633,0.01184366526364793,0.001184366526364793,0.025230954156613472
arbitrary,0.15,0.9396608195666811,0.9746140842457972,0.016629630094644327,0.0016629630094644327,0.03495326467911608
arbitrary,0.175,0.9206006414338396,0.9660317355435799,0.02196949716055071,0.002196949716055071,0.04543109410974033
arbitrary,0.19999999999999998,0.9002613157977326,0.9564957861468621,0.027724387110369383,0.0027724387110369384,0.05623447034912954
arbitrary,0.22499999999999998,0.8792258992986756,0.9461469776467862,0.03374779429030521,0.003374779429030521,0.06692107834811067
arbitrary,0.24999999999999997,0.8580797677207554,0.9351346080976954,0.039890465167646515,0.0039890465167646515,0.07705484037693999
arbitrary,0.27499999999999997,0.8373890367633312,0.9236133266637858,0.04600532673414321,0.004600532673414321,0.08622428990045461
arbitrary,0.3,0.817679902858484,0.911739882349134,0.051952299028045316,0.005195229902804532,0.09405997949064993
